caseNumber,steps,temperature,intensityOfUse,humidity,sensorData,productionVolume,treatment
4,8,10.90680398,7.9132578,17.86064398,2089.131018,20.40127743,1
4,9,10.1905593,4.692341379,17.00443329,2190.159977,19.2745251,1
4,10,10.37596824,11.11562136,17.83392624,2446.694592,18.10584505,1
4,11,12.34821349,6.162033409,17.02254482,2565.353455,16.88007813,0
4,12,9.616681622,11.23113685,19.8703639,2983.779798,14.83622249,0
4,13,3.624187526,13.4292268,13.32797517,3328.100407,12.29373265,0
4,14,19.86793922,8.039067734,24.86766525,3717.414156,9.848284792,0
5,0,13.10551604,7.289372374,14.31627201,216.6873663,32.61104211,0
5,1,13.75465448,8.955480342,18.63492263,442.5462693,31.13588788,1
5,2,13.73680128,10.32819366,25.15095573,801.3173602,29.42253377,1
5,3,17.39822718,13.18634827,21.45482036,1141.740137,27.11829297,0
5,4,0.680419047,6.735893153,15.73215892,1307.20689,25.17017658,1
5,5,18.33025904,8.670379573,20.07667247,1540.572674,24.06892237,0
5,6,2.891276396,13.0991561,13.05377663,1754.548078,22.34959749,0
5,7,11.00799318,11.93733383,27.98800465,2226.43912,20.06337601,0
5,8,14.04299571,7.06704028,15.68979121,2438.42426,17.78378873,0
5,9,3.734269457,5.36385158,9.68257026,2571.195673,16.63460022,1
5,10,11.51998041,12.16921067,21.92982873,2966.876086,15.01326839,0
5,11,11.37322223,11.54964628,26.02117796,3378.721883,12.1813401,0
5,12,10.03574894,8.919475712,24.58592856,3669.396467,9.839605499,0
5,13,19.91871001,10.77355724,27.34785205,4120.106578,7.368323181,0
5,14,10.48566346,6.807396381,15.46197336,4321.567923,5.194418328,1
6,0,14.51911818,11.62843534,18.05313769,331.1004905,32.22966503,1
6,1,20.43128646,15.91145633,31.28422122,1021.709384,28.96536945,1
6,2,9.244625299,9.588747274,15.10411335,1129.3994,26.50650271,0
6,3,2.7235735,8.726110031,17.60206052,1324.483711,25.15372296,1
6,4,11.19688112,8.083182823,16.55733415,1546.571806,23.93014142,0
6,5,13.28663671,5.48380058,16.80000074,1729.40319,22.41341668,0
6,6,8.655488873,7.699165828,10.97580676,1922.385031,21.16070593,0
6,7,9.908405945,4.71485207,19.76203762,2101.624384,19.91996862,1
6,8,8.14683194,7.322790753,21.91243755,2278.898126,18.93762913,1
6,9,7.352477665,10.19212078,19.22678655,2469.030107,17.73756211,0
6,10,8.617550295,7.61572711,15.93866775,2688.637102,16.1411093,0
6,11,11.33561788,10.26010529,15.32055548,2930.716832,14.60215355,1
6,12,9.920238041,11.83318998,25.64349023,3249.424309,12.9432027,1
6,13,6.04725306,4.518565483,13.58094082,3300.745176,11.80211471,0
6,14,2.991866191,5.66627742,13.3374621,3439.350487,10.86634779,1
7,0,7.666536534,7.649209188,19.71151994,152.4041258,32.82531958,1
7,1,10.69849586,8.613028352,22.98319741,340.3793127,31.82218658,0
7,2,11.40408052,10.86450628,19.0500966,666.812353,29.97602778,1
7,3,21.24521456,9.416443274,17.88143773,856.9321787,28.5063553,1
7,4,11.7007486,13.53800725,24.02386841,1302.563491,26.4089704,0
7,5,3.10478778,12.66712793,21.00779124,1659.188963,23.46082515,0
7,6,4.885903475,9.072379003,17.38650649,1892.597972,21.49404355,1
7,7,3.671428159,7.992673049,20.95984337,2072.694199,20.29761563,1
7,8,7.270122502,7.6854112,27.80753266,2250.901247,19.13399055,1
7,9,11.34389558,14.0513526,26.68272298,2789.239803,16.72934808,1
7,10,8.809384998,7.78377264,10.92138547,2934.343512,14.54299702,1
7,11,13.88706281,7.031363653,20.30290875,3156.190822,13.2276091,0
7,12,6.845252078,2.508381055,19.74812065,3285.458909,11.86116756,1
7,13,-3.053025908,7.883860792,19.58499899,3397.248931,11.22487106,0
7,14,6.163364963,9.979527954,19.12281906,3710.627913,9.64041052,1
8,0,15.40785023,8.136946665,25.88687537,336.5729434,32.21142352,0
8,1,8.077808847,5.770247611,25.91889907,538.1607891,30.41755423,0
8,2,2.436420205,10.1006852,13.31898971,829.5502023,28.7742967,1
8,3,10.45453676,5.934899435,20.47366525,970.2312633,27.54956997,1
8,4,10.49922635,12.78586855,25.2484627,1330.050833,25.83004808,0
8,5,6.763959429,12.40623588,23.47844174,1650.435051,23.39838039,0
8,6,11.76613531,11.63174171,15.44986265,2035.704603,21.04620115,1
8,7,6.293524316,9.695062791,25.598654,2290.402085,19.17140416,1
8,8,14.21851212,11.49779189,19.27653959,2578.140375,17.37039609,0
8,9,9.220174804,9.163873291,23.11185989,2804.364239,15.39165129,1
8,10,7.295596699,13.39860803,18.98520497,3127.153337,13.83105323,0
8,11,16.9296517,14.98717115,24.19407325,3688.982019,10.61288215,0
8,12,10.82255631,8.536701046,25.41506944,3985.255349,7.752542107,0
8,13,13.74485368,12.26897533,22.10374796,4440.903304,5.246137821,1
8,14,14.57466848,9.436954026,28.84986963,4690.565062,3.194222003,0
9,0,9.836568149,11.67196285,18.33251511,334.4486259,32.21850458,1
9,1,9.651141021,8.388771225,18.20654493,549.9934625,30.51719021,0
9,2,11.33748241,11.32174039,21.81048707,917.6260591,28.44126826,0
9,3,14.16238938,12.62467596,18.30328234,1372.338948,25.70011664,0
9,4,13.68705268,12.312646,25.60613071,1819.894759,22.69255431,0
9,5,9.843800791,8.172230245,11.70692918,2013.335431,20.55589937,1
9,6,11.76798576,8.595932747,16.19854726,2168.870821,19.63899731,0
9,7,3.404659995,8.646439984,14.01807569,2380.649032,18.16826716,0
9,8,16.80000675,10.27518382,25.01437591,2878.197217,15.80384584,0
9,9,10.95446253,6.609624722,21.7159326,3072.557852,13.4974831,1
9,10,15.26847935,8.020107548,17.80154422,3228.786498,12.57790382,0
9,11,8.012130517,10.88704943,21.94015365,3570.99446,10.66739681,0
9,12,2.0508819,10.75685734,18.34299734,3745.72895,8.944255301,0
9,13,8.65211465,8.821734168,21.23766292,3990.701316,7.545232448,1
9,14,18.43246351,7.569590311,19.0283084,4203.035174,6.260624501,1
10,0,13.85605906,10.15227684,24.20394029,371.0943205,32.09635226,0
10,1,11.56152918,10.93404134,13.72111531,667.811247,29.87031477,0
10,2,15.11232271,12.24183497,16.60483642,1031.297611,27.66963714,0
10,3,11.94785812,4.99464627,12.51054533,1166.242293,26.00820032,0
10,4,9.386364111,7.51855465,16.51542818,1346.425208,24.957775,0
10,5,1.812960312,15.9544805,17.61402307,1826.36362,22.75737057,1
10,6,5.070874563,4.206786798,21.24646817,1952.971972,20.96066288,1
10,7,16.01180693,7.647861717,18.49266651,2140.348726,19.89342876,0
10,8,5.988661519,6.814372817,13.57271839,2302.778764,18.52290837,0
10,9,9.020305484,9.504436557,20.01303006,2630.311609,16.88969876,1
10,10,10.74661976,8.067254787,20.43307832,2793.327654,15.47005953,1
10,11,8.382643953,4.910704369,6.578256836,2801.175902,14.92123146,1
10,12,10.49601113,10.14785885,22.49495544,3029.502154,14.04052015,0
10,13,3.614659569,12.05876444,26.6972218,3337.300206,12.1106588,1
10,14,18.81218634,13.595472,34.14052936,3899.607106,9.470939363,0
11,0,8.583564953,9.056219037,25.44055432,349.4185152,32.16860495,0
11,1,14.5314613,11.84519255,23.67908001,812.8056631,29.45925274,1
11,2,12.02037342,4.280795939,16.75159538,909.7768101,27.88933726,1
11,3,16.39643905,12.2518286,21.18136227,1250.653189,26.35483565,1
11,4,2.413047897,11.05630727,12.38759155,1488.491821,24.45019816,0
11,5,15.64231256,7.347401709,22.95028006,1727.106255,22.61467308,1
11,6,13.38594257,11.78085898,22.8486199,2140.021324,20.66176682,0
11,7,12.11307198,5.081205372,28.30347404,2401.330225,18.19549484,0
11,8,9.947266297,8.036176925,22.30362015,2687.335203,16.37111524,0
11,9,5.747744808,13.68497965,23.80175865,3106.552819,14.02037326,0
11,10,8.679594141,7.819477812,16.12078909,3323.225924,11.90073752,0
11,11,20.22432017,8.01731885,21.34512771,3643.352366,10.1114057,1
11,12,10.66460639,14.43175725,25.75881377,4094.142658,7.814700697,1
11,13,0.120580663,7.513256239,18.34166241,4193.557113,6.013048973,1
11,14,12.98960624,5.77880503,27.6835843,4348.909677,5.050532997,1
12,0,6.950034885,9.261433699,25.33168287,273.7378695,32.42087377,0
12,1,16.07990545,8.742977202,22.1756091,561.6346437,30.54875829,0
12,2,7.863313085,10.45185119,25.49107811,848.9370422,28.63142771,0
12,3,9.328185353,6.580201706,26.12211463,1043.217761,27.02615066,1
12,4,12.11148856,9.614467267,20.93187449,1255.451474,25.95445896,1
12,5,1.313709174,8.269163255,8.911179468,1338.400639,24.93280841,0
12,6,8.115630468,7.31882467,19.0076905,1529.296545,23.77434272,1
12,7,9.962712184,7.415721882,18.26124824,1640.028741,22.98841243,0
12,8,12.47067425,10.23335928,17.76305793,1894.34841,21.55207616,1
12,9,16.07816753,16.06261263,21.8269527,2421.570007,19.1773385,0
12,10,15.92634824,10.19262138,23.22902443,2807.81774,15.90204084,0
12,11,4.656973273,9.213511423,13.43678955,3032.203845,13.86659472,1
12,12,17.59828399,7.19180987,23.99037674,3267.32181,12.54892112,0
12,13,10.81343154,8.78900525,16.2412418,3524.824802,10.69284463,0
12,14,16.80737175,5.675642828,23.64235438,3776.623286,8.99517304,1
13,0,8.034774971,12.91771222,14.17958787,376.4709614,32.07843013,1
13,1,5.818736035,4.85845559,20.43386266,570.9866511,30.30307819,0
13,2,3.905819273,4.19334362,12.77205736,700.67097,29.0944746,0
13,3,2.974132392,7.515210111,21.19835989,881.2714078,28.06019207,0
13,4,7.103884951,6.409285909,15.09100022,1086.03955,26.77563014,1
13,5,17.92050953,9.942765953,21.11945965,1336.141066,25.41472441,0
13,6,12.02574434,8.297222471,20.61324337,1596.217302,23.55880544,0
13,7,6.349424218,3.226904028,18.71942395,1712.790456,22.30330747,0
13,8,7.289233321,8.669037062,13.52179748,1953.746778,21.11154255,0
13,9,4.974503779,7.500060163,11.31958603,2148.427395,19.65941942,0
13,10,10.1647106,11.31413746,20.72787262,2474.236096,17.92445503,1
13,11,5.88113103,11.79096231,25.19190379,2760.361252,16.13342262,1
13,12,11.50466843,10.16932173,18.63557803,2965.129216,14.53196052,0
13,13,19.81630567,11.24525785,26.0476543,3392.086984,12.14261267,1
13,14,10.4234581,7.532433126,22.62163597,3549.758418,10.49753134,0
14,0,14.30183737,3.825320088,15.0013747,165.721248,32.78092917,0
14,1,13.51206789,7.566824781,22.1117189,402.8528374,31.43808638,1
14,2,8.738903354,9.029190696,23.09492975,568.3917865,30.35833668,0
14,3,-0.086524239,7.700003371,11.10801781,751.803539,28.93268225,1
14,4,10.77637615,9.095338605,19.15220342,965.319639,27.77713546,1
14,5,10.67324395,9.357559226,19.98590727,1201.804732,26.3270704,0
14,6,7.548651975,13.23547178,19.47636132,1560.349882,24.12615129,0
14,7,16.1227812,10.03338009,26.21091268,1893.788046,21.81954024,0
14,8,10.20301087,9.375556053,22.79047054,2225.17161,19.60346781,0
14,9,13.85082103,5.497331881,18.4463003,2429.995002,17.81611129,0
14,10,9.348279682,4.988434642,17.02079325,2587.484698,16.608401,0
14,11,4.930741219,9.864154185,24.30506696,2896.525044,15.05330086,1
14,12,12.13079383,7.629362683,21.78334965,3060.370869,13.74609132,1
14,13,-1.990574496,8.947211965,11.88436866,3141.075513,12.92940949,1
14,14,6.17506145,9.010390034,20.46941676,3342.884969,11.89140909,1
15,0,9.584385146,10.51224892,15.09844794,232.860507,32.55713164,0
15,1,3.313920482,9.811755673,23.79524746,499.3804637,30.8925301,0
15,2,11.40485649,10.86535919,18.57766494,845.278899,28.85113546,0
15,3,7.530297973,12.07471791,17.93586776,1201.590386,26.51043572,1
15,4,15.97721793,10.12550175,24.56382008,1507.152105,24.53052661,1
15,5,12.54244821,12.25717436,21.03286888,1826.236948,22.52646742,0
15,6,8.086056083,8.468151055,17.08176504,2070.722972,20.34346694,0
15,7,3.261215183,4.550679465,16.08538749,2203.819362,19.08485889,0
15,8,8.542694998,9.475959581,24.2228405,2472.575154,17.74535161,0
15,9,5.938628497,10.95252326,14.72840277,2778.237814,15.83062344,1
15,10,12.70218559,9.235329463,28.37999861,3103.421334,13.9596822,0
15,11,7.136343824,9.905929019,22.48074608,3375.501804,11.73692287,1
15,12,13.53047031,4.881887557,21.92652362,3499.634767,10.66618793,0
15,13,5.398513964,12.04351845,17.2099131,3801.305234,8.996866662,1
15,14,6.805642613,5.277357308,19.13278251,3900.373495,7.876106419,0
16,0,2.895688257,4.738602087,16.47365707,98.87441995,33.00375193,0
16,1,14.06221916,10.19237425,24.68279989,370.8196804,31.76768633,0
16,2,6.139267213,5.07721393,18.61994611,516.368682,30.37603879,1
16,3,15.48511061,15.14525662,23.35433612,1054.181197,28.34773975,1
16,4,9.825873694,8.667489796,24.23614892,1281.213266,25.8330916,1
16,5,6.374920342,9.056762717,16.3120128,1445.984822,24.51427256,0
16,6,9.793409203,10.23332611,22.04059627,1693.611611,22.86801189,0
16,7,12.64962465,9.918740769,27.9282161,2104.000457,20.67462644,0
16,8,6.153095182,9.233966931,21.32201099,2419.179638,18.25606635,1
16,9,15.78620876,7.239781257,22.96428954,2589.287309,16.89373398,0
16,10,17.42106103,7.516464327,18.32095627,2763.665025,15.49015889,0
16,11,13.85870569,4.269866524,18.11247453,2969.186747,14.22382742,1
16,12,13.28276192,5.791377059,19.27317758,3119.034314,13.25241981,0
16,13,9.934778442,7.697617254,19.31508976,3323.137317,11.8594279,0
16,14,12.513004,10.06199607,14.62583441,3606.27573,10.23528984,0
17,0,0.935170009,10.98836553,9.90707614,300.4245964,32.33191801,0
17,1,4.542352729,12.29144299,19.74212354,598.8176749,30.3358591,1
17,2,13.78971668,12.02200721,23.68509634,931.0857351,28.44776248,0
17,3,9.375261399,7.073079427,17.52456611,1140.599694,26.42771524,1
17,4,14.20234824,5.534739069,22.16069191,1277.786736,25.51560002,0
17,5,4.794587958,9.794007459,12.00492957,1540.855899,23.93785789,0
17,6,3.00417108,9.7908941,17.49024557,1791.038004,22.22702033,1
17,7,9.92665909,6.311351522,21.09887782,1925.496002,21.14235909,1
17,8,15.53182717,8.207322741,24.01020813,2186.947719,19.82790885,0
17,9,3.098143537,6.423621465,10.35990539,2375.469603,18.12527559,0
17,10,17.1548516,8.184434083,16.10742066,2615.199164,16.69777078,0
17,11,15.74040828,7.609078796,13.79115003,2831.519837,15.17760333,0
17,12,1.509140794,15.65741043,20.74644622,3264.826887,13.01217759,0
17,13,10.90242215,7.668715373,11.06997187,3453.908207,10.93754969,0
17,14,7.645260146,10.38225415,23.68084132,3792.017844,9.180246497,0
18,0,15.42333506,7.916778518,12.89636241,314.5557719,32.28481409,1
18,1,11.15263877,6.95455564,15.99198257,467.8836166,30.83666412,0
18,2,2.644375774,8.627366718,20.93805346,680.6995456,29.50472279,0
18,3,11.96060538,10.13884912,25.26328227,1046.556402,27.57581351,0
18,4,1.982224432,4.079611801,17.00933579,1208.574408,25.81623063,1
18,5,10.39945759,9.44326815,15.55196213,1456.625161,24.64439693,1
18,6,7.819244161,8.526361379,21.09267744,1608.796103,23.33101226,1
18,7,6.842696687,12.09508186,18.88525889,1842.568598,22.06554143,0
18,8,5.764307043,6.069194107,18.3078733,1962.749938,20.64893821,1
18,9,-1.169492573,9.806983814,22.25128966,2142.0323,19.8638935,1
18,10,11.63833549,4.844637343,14.8710959,2271.832704,18.81027496,1
18,11,6.417032896,9.577949137,14.01750833,2477.212192,17.69907433,1
18,12,17.07327584,13.2559879,32.43369092,2991.173455,15.29179565,1
18,13,3.699346052,7.431275273,14.65060631,3082.016283,13.38814172,1
18,14,15.13381907,12.6549784,22.86070413,3454.781769,11.8030598,0
19,0,7.734020973,7.412717941,19.47645842,212.6071338,32.62464289,1
19,1,-1.795946427,10.95449127,14.68724864,393.3566389,31.42357768,1
19,2,9.135155113,9.303566536,26.07352405,611.0868326,30.1513155,1
19,3,5.789465654,8.661489079,11.56211052,709.0963915,29.16268035,1
19,4,5.508184265,14.64007385,21.97077109,1067.010141,27.60470301,1
19,5,17.08080434,9.251483123,28.03130887,1453.401371,25.15714822,0
19,6,6.765725584,14.4518236,29.47837877,1961.178545,21.95140028,0
19,7,18.52377593,12.90606548,27.92713506,2485.038579,18.51260959,0
19,8,13.1954789,7.143890935,14.83950163,2759.614914,15.85115502,1
19,9,9.910290625,14.30405486,19.84772459,3162.249133,13.84806285,1
19,10,14.81856242,13.41860943,28.55859649,3604.204779,11.03508187,0
19,11,3.202678994,4.684646963,15.37065597,3759.968482,8.78608913,1
19,12,8.744367451,9.239835662,23.45497414,3969.363245,7.809470238,0
19,13,3.779822861,9.531283524,23.68813679,4267.718351,5.876394681,0
19,14,6.655297497,8.478558698,19.145752,4467.603368,4.215594269,0
20,0,8.107924971,10.76418267,27.56010827,349.7838011,32.16738733,0
20,1,18.77779478,7.952690111,20.03933106,630.4091684,30.06602343,1
20,2,5.742645038,7.204548139,23.04700592,770.1166929,28.93321519,1
20,3,6.171140601,5.683592073,25.46149283,814.0011573,28.30304041,1
20,4,13.39180425,13.02640389,26.15456297,1204.142235,26.83306899,1
20,5,9.558043409,4.641171978,18.47721822,1256.061975,25.40382468,1
20,6,6.921537238,9.658573825,16.38620353,1462.295041,24.49470724,0
20,7,11.45951683,13.38059459,23.70573989,1947.453634,21.96750442,1
20,8,5.760751475,6.742737161,17.80438567,2046.625819,20.27298522,1
20,9,11.31376026,9.445677117,18.99747411,2238.245801,19.2815634,1
20,10,15.19744095,10.03561294,8.331051124,2469.14341,17.86769102,1
20,11,2.618982225,8.203656308,14.36634326,2640.943457,16.51643284,1
20,12,10.8413445,7.366657325,16.25894355,2804.258614,15.39093697,0
20,13,12.03146888,10.21217263,28.50599004,3149.758881,13.48660835,1
20,14,13.04885374,8.267503729,23.82638807,3336.325183,11.98401806,1
21,0,10.00720161,12.20748766,30.6573343,426.0414968,31.91319501,0
21,1,12.0108022,10.96989899,23.62144159,843.6112049,29.10115766,0
21,2,19.74157794,4.254941649,23.91068841,1043.578389,27.04270135,0
21,3,22.59335339,13.55436326,22.68645876,1638.500865,24.39306916,0
21,4,3.783032591,8.255434509,18.54676011,1812.778345,21.8290693,1
21,5,10.53199265,11.78669266,24.47962364,2082.447148,20.62270779,0
21,6,9.433253836,7.581314464,12.43577543,2345.066464,18.57495463,1
21,7,14.86113597,10.69220999,20.52491566,2650.468585,16.88898547,0
21,8,17.84617869,3.962508181,16.87694953,2842.213744,15.02439224,1
21,9,4.7390365,9.983021239,12.63969411,3048.87713,13.92244702,1
21,10,6.418625615,10.76555226,18.1987851,3256.639907,12.50055414,0
21,11,14.44709065,14.35259761,23.37348929,3741.188895,10.00723733,0
21,12,8.948873882,6.226369504,11.14127259,3886.293245,7.908392866,1
21,13,7.020134775,3.31357089,15.15192866,3948.029911,7.437491468,1
21,14,12.83199457,7.052025269,17.98579005,4190.04279,6.385066515,0
22,0,7.080727638,13.14385458,24.98939851,375.9723058,32.08009231,0
22,1,7.428850545,8.852237738,20.64772597,640.8730544,29.9438488,1
22,2,10.19075233,11.20453509,23.38279226,956.6111258,28.26736964,0
22,3,5.466924504,13.82365903,19.50686945,1305.201304,25.79395857,1
22,4,7.155685711,9.128573113,14.76141658,1423.338832,24.51557772,1
22,5,4.883207148,5.16890643,16.92564638,1513.109385,23.75271003,1
22,6,6.820646875,14.33750757,22.57091706,1859.358607,22.27581669,0
22,7,12.0310871,12.75043079,21.80557655,2314.050709,19.42196895,0
22,8,11.4408615,11.40111305,20.25143062,2602.759775,16.94396506,0
22,9,18.32072685,12.12775439,20.74955111,3083.988591,14.37750545,0
22,10,3.740835732,8.652990322,17.06883438,3318.941278,11.99023377,1
22,11,7.627797093,10.69092158,21.7753553,3530.435617,10.73519554,0
22,12,-2.253534072,2.333791945,8.098643426,3598.915966,9.568828059,0
22,13,3.344508928,12.32154943,22.41206105,3986.915783,8.047227503,0
22,14,16.62145428,9.856872989,24.60898654,4332.407074,5.602257141,0
23,0,12.52841573,7.570447427,25.03725894,257.3844583,32.47538514,0
23,1,9.791745942,8.172715304,23.85757612,475.0586198,30.89185641,0
23,2,-0.802756008,4.168401625,16.24331853,596.8055707,29.7604527,1
23,3,3.212715352,10.39493017,21.06177667,844.0648094,28.67592279,1
23,4,6.286517733,12.07503891,20.66909176,1060.21635,27.17432336,0
23,5,7.147539692,13.0262007,17.29482129,1459.743862,24.93346596,0
23,6,5.301394594,14.1538249,21.94610969,1814.816652,22.41813162,0
23,7,12.45385804,6.800647622,14.67195094,2014.455016,20.56909444,0
23,8,14.8938658,12.50826839,22.03603022,2437.894339,18.49216882,0
23,9,14.61728414,13.61745852,23.61779304,2906.428276,15.51892462,1
23,10,2.494346479,13.21923645,23.04560706,3227.459115,13.20930253,1
23,11,7.824272814,10.22296531,20.97414295,3433.578189,11.4131944,0
23,12,7.32357728,4.678637303,22.81930294,3565.83431,10.00195834,0
23,13,7.341714569,11.53423731,18.62301334,3864.596938,8.565229175,0
23,14,6.809158399,9.11549632,19.90809953,4150.604527,6.615995116,1
24,0,7.864711005,8.656688545,16.83092265,205.0971696,32.6496761,1
24,1,24.01950764,9.958513128,26.01246335,599.8753788,30.76966608,1
24,2,4.217122073,12.51697805,12.41649175,814.3327374,28.90827241,0
24,3,17.48040066,9.461606519,17.35004311,1148.979528,26.78895911,0
24,4,14.27449808,9.520356183,22.89536099,1496.116966,24.51634502,0
24,5,9.740698366,9.280851137,17.1783826,1818.738102,22.28381644,0
24,6,12.26366645,7.401887135,22.97088068,2078.387866,20.34291344,1
24,7,9.198324175,8.780394268,8.780989706,2236.652852,19.23547026,0
24,8,20.14240713,9.182142579,30.94605653,2605.759012,17.19196045,1
24,9,3.666241257,3.41514576,16.66845444,2623.159203,16.20675038,0
24,10,12.819609,8.65920866,25.03528656,2954.237926,14.74200957,1
24,11,0.141926588,6.793440929,12.36758984,3039.603168,13.59268758,0
24,12,9.890284056,9.982605295,24.24866061,3325.384385,12.11670815,0
24,13,1.146223242,2.025581327,17.81573927,3437.124868,10.79163582,1
24,14,13.26548367,9.856496418,17.62230462,3644.184122,9.916897273,0
25,0,15.66960142,6.517828547,19.82729153,211.572146,32.62809285,0
25,1,6.128604342,7.871021598,15.82325606,391.2629313,31.32388308,1
25,2,4.601149856,7.848094454,12.72495346,494.5247262,30.59655743,0
25,3,8.314458951,15.7027602,27.16063971,1030.482031,28.24997747,0
25,4,12.03823182,10.48945515,19.52318011,1355.819104,25.37899622,1
25,5,11.48205577,8.835787848,20.0628464,1551.97025,23.90709674,1
25,6,3.512416508,8.07515684,24.98637992,1703.15111,22.73566532,0
25,7,12.29974572,9.505313018,25.04994765,2017.777061,20.93023943,0
25,8,2.464839334,9.345121418,26.38695988,2237.903066,19.14773291,1
25,9,15.45338179,6.01660482,22.83330675,2422.169583,18.02779809,1
25,10,8.039890917,13.68198528,15.06293432,2696.792523,16.51951574,1
25,11,16.48338916,10.7847342,19.9640642,3002.311885,14.58607364,1
25,12,13.46274088,9.839693248,21.9060128,3262.777095,12.71477708,1
25,13,1.880835486,5.441718256,18.63520374,3333.208296,11.62873544,0
25,14,11.39614088,7.955726729,17.9211688,3592.959919,10.24610595,0
26,0,11.71418189,8.54016421,21.98304085,254.2553837,32.48581539,0
26,1,23.48720108,13.72709705,28.44006051,901.1748532,29.48189921,0
26,2,10.88210192,9.03264859,24.82245164,1140.202602,26.52874182,0
26,3,10.92187099,8.729600473,18.00091821,1405.4804,24.84772333,0
26,4,7.237273627,8.432753823,14.16226446,1581.637081,23.37627506,0
26,5,14.07353861,5.622306134,20.15048134,1794.720637,22.07880761,1
26,6,9.464192745,9.554655106,23.56339202,1972.324213,20.96337999,0
26,7,9.891794442,8.791767281,20.0749738,2215.866025,19.37269921,1
26,8,-0.6394234,7.068572416,15.87974276,2378.146165,18.24189765,0
26,9,7.973083761,8.048779474,17.25495834,2538.798967,16.94351623,1
26,10,10.86997892,8.621103559,20.98548428,2773.410562,15.78841693,1
